-DOCSTART- -X- -X- O
into NN O O
cells NN O O
where NN O O
it NN O O
is NN O O
active NN O O
. NN O O
Neutralizing NN O O
antibody NN O O
titers NN O O
were NN O O
not NN O O
determined NN O O
in NN O O
the NN O O
patients NN O O
. NN O O
Therefore NN O O
, NN O O
the NN O O
possibility NN O O
of NN O O
an NN O O
association NN O O
between NN O O
neutralizing NN O O
antibody NN O O
titer NN O O
and NN O O
treatment NN O O
effect NN O O
can NN O O
not NN O O
be NN O O
assessed NN O O
. NN O O
Assessment NN O O
of NN O O
the NN O O
incidence NN O O
of NN O O
antibody NN O O
formation NN O O
is NN O O
highly NN O O
dependent NN O O
on NN O O
the NN O O
sensitivity NN O O
and NN O O
specificity NN O O
of NN O O
the NN O O
assay NN O O
. NN O O
Additionally NN O O
, NN O O
the NN O O
observed NN O O
incidence NN O O
of NN O O
antibody NN O O
( NN O O
including NN O O
neutralizing NN O O
antibody NN O O
) NN O O
positivity NN O O
in NN O O
an NN O O
assay NN O O
may NN O O
be NN O O
influenced NN O O
by NN O O
several NN O O
factors NN O O
including NN O O
assay NN O O
methodology NN O O
, NN O O
sample NN O O
handling NN O O
, NN O O
timing NN O O
of NN O O
sample NN O O
collection NN O O
, NN O O
concomitant NN O O
medications NN O O
, NN O O
and NN O O
underlying NN O O
disease NN O O
. NN O O
For NN O O
these NN O O
reasons NN O O
, NN O O
comparison NN O O
of NN O O
the NN O O
incidence NN O O
of NN O O
antibodies NN O O
to NN O O
Vimizim NN O O
with NN O O
the NN O O
incidence NN O O
of NN O O
antibodies NN O O
to NN O O
other NN O O
products NN O O
may NN O O
be NN O O
misleading NN O O
. NN O O
BOXED NN O O
WARNING NN O O
: NN O O
WARNING NN O O
: NN O O
RISK NN B-Factor B-Factor
OF NN O O
ANAPHYLAXIS NN B-AdverseReaction B-AdverseReaction
WARNING NN O O
: NN O O
RISK NN B-Factor B-Factor
OF NN O O
ANAPHYLAXIS NN B-AdverseReaction B-AdverseReaction
Life NN B-Severity B-Severity
- NN I-Severity I-Severity
threatening NN I-Severity I-Severity
anaphylactic NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
have NN O O
occurred NN O O
in NN O O
some NN O O
patients NN O O
during NN O O
Vimizim NN O O
infusions NN O O
. NN O O
Anaphylaxis NN B-AdverseReaction B-AdverseReaction
presenting NN O O
as NN O O
cough NN B-AdverseReaction B-AdverseReaction
erythema NN B-AdverseReaction B-AdverseReaction
throat NN B-AdverseReaction B-AdverseReaction
tightness NN I-AdverseReaction I-AdverseReaction
urticaria NN B-AdverseReaction B-AdverseReaction
flushing NN B-AdverseReaction B-AdverseReaction
cyanosis NN B-AdverseReaction B-AdverseReaction
hypotension NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
chest NN B-AdverseReaction B-AdverseReaction
discomfort NN I-AdverseReaction I-AdverseReaction
and NN O O
gastrointestinal NN B-AdverseReaction B-AdverseReaction
symptoms NN I-AdverseReaction I-AdverseReaction
( NN O O
e.g. NN O O
, NN O O
nausea NN B-AdverseReaction B-AdverseReaction
abdominal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
retching NN B-AdverseReaction B-AdverseReaction
and NN O O
vomiting NN B-AdverseReaction B-AdverseReaction
in NN O O
conjunction NN O O
with NN O O
urticaria NN B-AdverseReaction B-AdverseReaction
have NN O O
been NN O O
reported NN O O
to NN O O
occur NN O O
during NN O O
Vimizim NN O O
infusions NN O O
, NN O O
regardless NN O O
of NN O O
duration NN O O
of NN O O
the NN O O
course NN O O
of NN O O
treatment NN O O
. NN O O
Closely NN O O
observe NN O O
patients NN O O
during NN O O
and NN O O
after NN O O
Vimizim NN O O
administration NN O O
and NN O O
be NN O O
prepared NN O O
to NN O O
manage NN O O
anaphylaxis NN O O
. NN O O
Inform NN O O
patients NN O O
of NN O O
the NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
anaphylaxis NN O O
and NN O O
have NN O O
them NN O O
seek NN O O
immediate NN O O
medical NN O O
care NN O O
should NN O O
symptoms NN O O
occur NN O O
. NN O O
Patients NN O O
with NN O O
acute NN O O
respiratory NN O O
illness NN O O
may NN O O
be NN O O
at NN O O
risk NN O O
of NN O O
serious NN O O
acute NN O O
exacerbation NN O O
of NN O O
their NN O O
respiratory NN O O
compromise NN O O
due NN O O
to NN O O
hypersensitivity NN O O
reactions NN O O
, NN O O
and NN O O
require NN O O
additional NN O O
monitoring NN O O
[ NN O O
see NN O O
Warnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.1 NN O O
, NN O O
5.2 NN O O
) NN O O
and NN O O
Adverse NN O O
Reactions NN O O
( NN O O
6 NN O O
) NN O O
] NN O O
. NN O O
EXCERPT NN O O
: NN O O
WARNING NN O O
: NN O O
RISK NN B-Factor B-Factor
OF NN O O
ANAPHYLAXIS NN B-AdverseReaction B-AdverseReaction
See NN O O
full NN O O
prescribing NN O O
information NN O O
for NN O O
complete NN O O
boxed NN O O
warning NN O O
. NN O O
Life NN B-Severity B-Severity
- NN I-Severity I-Severity
threatening NN I-Severity I-Severity
anaphylactic NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
have NN O O
occurred NN O O
in NN O O
some NN O O
patients NN O O
during NN O O
Vimizim NN O O
infusions NN O O
. NN O O
Anaphylaxis NN B-AdverseReaction B-AdverseReaction
presenting NN O O
as NN O O
cough NN B-AdverseReaction B-AdverseReaction
erythema NN B-AdverseReaction B-AdverseReaction
throat NN B-AdverseReaction B-AdverseReaction
tightness NN I-AdverseReaction I-AdverseReaction
urticaria NN B-AdverseReaction B-AdverseReaction
flushing NN B-AdverseReaction B-AdverseReaction
cyanosis NN B-AdverseReaction B-AdverseReaction
hypotension NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
chest NN B-AdverseReaction B-AdverseReaction
discomfort NN I-AdverseReaction I-AdverseReaction
and NN O O
gastrointestinal NN B-AdverseReaction B-AdverseReaction
symptoms NN I-AdverseReaction I-AdverseReaction
in NN O O
conjunction NN O O
with NN O O
urticaria NN B-AdverseReaction B-AdverseReaction
have NN O O
been NN O O
reported NN O O
to NN O O
occur NN O O
during NN O O
infusions NN O O
, NN O O
regardless NN O O
of NN O O
duration NN O O
of NN O O
the NN O O
course NN O O
of NN O O
treatment NN O O
. NN O O
Closely NN O O
observe NN O O
patients NN O O
during NN O O
and NN O O
after NN O O
Vimizim NN O O
administration NN O O
and NN O O
be NN O O
prepared NN O O
to NN O O
manage NN O O
anaphylaxis NN O O
. NN O O
Inform NN O O
patients NN O O
of NN O O
the NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
anaphylaxis NN O O
and NN O O
have NN O O
them NN O O
seek NN O O
immediate NN O O
medical NN O O
care NN O O
should NN O O
symptoms NN O O
occur NN O O
. NN O O
Patients NN O O
with NN O O
acute NN O O
respiratory NN O O
illness NN O O
may NN O O
be NN O O
at NN O O
risk NN O O
of NN O O
serious NN O O
acute NN O O
exacerbation NN O O
of NN O O
their NN O O
respiratory NN O O
compromise NN O O
due NN O O
to NN O O
hypersensitivity NN O O
reactions NN O O
, NN O O
and NN O O
require NN O O
additional NN O O
monitoring NN O O
( NN O O
5.1 NN O O
, NN O O
5.2 NN O O
, NN O O
6 NN O O
) NN O O
. NN O O
5 NN O O
WARNINGS NN O O
AND NN O O
PRECAUTIONS NN O O
EXCERPT NN O O
: NN O O
. NN O O
Anaphylaxis NN B-AdverseReaction B-AdverseReaction
and NN O O
Hypersensitivity NN B-AdverseReaction B-AdverseReaction
Reactions NN I-AdverseReaction I-AdverseReaction
Life NN B-Severity B-Severity
- NN I-Severity I-Severity
threatening NN I-Severity I-Severity
anaphylaxis NN B-AdverseReaction B-AdverseReaction
and NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN O O
have NN O O
been NN O O
observed NN O O
in NN O O
some NN O O
patients NN O O
during NN O O
treatment NN O O
with NN O O
Vimizim NN O O
. NN O O
If NN O O
anaphylaxis NN O O
or NN O O
severe NN O O
hypersensitivity NN O O
reactions NN O O
occur NN O O
, NN O O
immediately NN O O
stop NN O O
the NN O O
infusion NN O O
and NN O O
initiate NN O O
appropriate NN O O
medical NN O O
treatment NN O O
. NN O O
Pre NN O O
- NN O O
treatment NN O O
with NN O O
antihistamines NN O O
with NN O O
or NN O O
without NN O O
antipyretics NN O O
is NN O O
recommended NN O O
prior NN O O
to NN O O
the NN O O
start NN O O
of NN O O
infusion NN O O
( NN O O
5.1 NN O O
) NN O O
. NN O O
. NN O O
Risk NN B-Factor B-Factor
of NN O O
Acute NN B-AdverseReaction B-AdverseReaction
Respiratory NN I-AdverseReaction I-AdverseReaction
Complications NN I-AdverseReaction I-AdverseReaction
Patients NN O O
with NN O O
acute NN O O
febrile NN O O
or NN O O
respiratory NN O O
illness NN O O
may NN O O
be NN O O
at NN O O
higher NN O O
risk NN O O
of NN O O
life NN B-Severity B-Severity
- NN I-Severity I-Severity
threatening NN I-Severity I-Severity
complications NN O O
from NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
Careful NN O O
consideration NN O O
should NN O O
be NN O O
given NN O O
to NN O O
the NN O O
patient NN O O
's NN O O
clinical NN O O
status NN O O
prior NN O O
to NN O O
administration NN O O
of NN O O
Vimizim NN O O
and NN O O
consider NN O O
delaying NN O O
the NN O O
Vimizim NN O O
infusion NN O O
( NN O O
5.2 NN O O
) NN O O
. NN O O
5.1 NN O O
Anaphylaxis NN O O
and NN O O
Hypersensitivity NN O O
Reactions NN O O
Anaphylaxis NN B-AdverseReaction B-AdverseReaction
and NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN O O
have NN O O
been NN O O
reported NN O O
in NN O O
patients NN O O
treated NN O O
with NN O O
Vimizim NN O O
. NN O O
In NN O O
premarketing NN O O
clinical NN O O
trials NN O O
, NN O O
18 NN O O
of NN O O
235 NN O O
( NN O O
7.7 NN O O
% NN O O
) NN O O
patients NN O O
treated NN O O
with NN O O
Vimizim NN O O
experienced NN O O
signs NN O O
and NN O O
symptoms NN O O
consistent NN O O
with NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
These NN O O
18 NN O O
patients NN O O
experienced NN O O
26 NN O O
anaphylactic NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
during NN O O
infusion NN O O
with NN O O
signs NN O O
and NN O O
symptoms NN O O
including NN O O
cough NN B-AdverseReaction B-AdverseReaction
erythema NN B-AdverseReaction B-AdverseReaction
throat NN B-AdverseReaction B-AdverseReaction
tightness NN I-AdverseReaction I-AdverseReaction
urticaria NN B-AdverseReaction B-AdverseReaction
flushing NN B-AdverseReaction B-AdverseReaction
cyanosis NN B-AdverseReaction B-AdverseReaction
hypotension NN B-AdverseReaction B-AdverseReaction
rash NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
chest NN B-AdverseReaction B-AdverseReaction
discomfort NN I-AdverseReaction I-AdverseReaction
and NN O O
gastrointestinal NN B-AdverseReaction B-AdverseReaction
symptoms NN I-AdverseReaction I-AdverseReaction
( NN O O
e.g. NN O O
, NN O O
nausea NN B-AdverseReaction B-AdverseReaction
abdominal NN B-AdverseReaction B-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
retching NN B-AdverseReaction B-AdverseReaction
and NN O O
vomiting NN B-AdverseReaction B-AdverseReaction
in NN O O
conjunction NN O O
with NN O O
urticaria NN B-AdverseReaction B-AdverseReaction
These NN O O
cases NN O O
of NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
occurred NN O O
as NN O O
early NN O O
as NN O O
30 NN O O
minutes NN O O
from NN O O
the NN O O
start NN O O
of NN O O
infusion NN O O
and NN O O
up NN O O
to NN O O
three NN O O
hours NN O O
after NN O O
infusion NN O O
. NN O O
Anaphylaxis NN B-AdverseReaction B-AdverseReaction
occurred NN O O
as NN O O
late NN O O
into NN O O
treatment NN O O
as NN O O
the NN O O
47 NN O O
th NN O O
infusion NN O O
. NN O O
In NN O O
clinical NN O O
trials NN O O
with NN O O
Vimizim NN O O
, NN O O
44 NN O O
of NN O O
235 NN O O
( NN O O
18.7 NN O O
% NN O O
) NN O O
patients NN O O
experienced NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN O O
, NN O O
including NN O O
anaphylaxis NN B-AdverseReaction B-AdverseReaction
Hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN O O
have NN O O
occurred NN O O
as NN O O
early NN O O
as NN O O
30 NN O O
minutes NN O O
from NN O O
the NN O O
start NN O O
of NN O O
infusion NN O O
but NN O O
as NN O O
late NN O O
as NN O O
six NN O O
days NN O O
after NN O O
infusion NN O O
. NN O O
Frequent NN O O
symptoms NN O O
of NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN O O
( NN O O
occurring NN O O
in NN O O
more NN O O
than NN O O
2 NN O O
patients NN O O
) NN O O
included NN O O
anaphylactic NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
urticaria NN B-AdverseReaction B-AdverseReaction
peripheral NN B-AdverseReaction B-AdverseReaction
edema NN I-AdverseReaction I-AdverseReaction
cough NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
and NN O O
flushing NN B-AdverseReaction B-AdverseReaction
Due NN O O
to NN O O
the NN O O
potential NN O O
for NN O O
anaphylaxis NN O O
, NN O O
appropriate NN O O
medical NN O O
support NN O O
should NN O O
be NN O O
readily NN O O
available NN O O
when NN O O
Vimizim NN O O
is NN O O
administered NN O O
. NN O O
Observe NN O O
patients NN O O
closely NN O O
for NN O O
an NN O O
appropriate NN O O
period NN O O
of NN O O
time NN O O
after NN O O
administration NN O O
of NN O O
Vimizim NN O O
, NN O O
taking NN O O
into NN O O
account NN O O
the NN O O
time NN O O
to NN O O
onset NN O O
of NN O O
anaphylaxis NN O O
seen NN O O
in NN O O
premarketing NN O O
clinical NN O O
trials NN O O
. NN O O
Inform NN O O
patients NN O O
of NN O O
the NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
anaphylaxis NN O O
, NN O O
and NN O O
instruct NN O O
them NN O O
to NN O O
seek NN O O
immediate NN O O
medical NN O O
care NN O O
should NN O O
signs NN O O
and NN O O
symptoms NN O O
occur NN O O
. NN O O
Because NN O O
of NN O O
the NN O O
potential NN O O
for NN O O
hypersensitivity NN O O
reactions NN O O
, NN O O
administer NN O O
antihistamines NN O O
with NN O O
or NN O O
without NN O O
antipyretics NN O O
prior NN O O
to NN O O
infusion NN O O
. NN O O
Management NN O O
of NN O O
hypersensitivity NN O O
reactions NN O O
should NN O O
be NN O O
based NN O O
on NN O O
the NN O O
severity NN O O
of NN O O
the NN O O
reaction NN O O
and NN O O
include NN O O
slowing NN O O
or NN O O
temporary NN O O
interruption NN O O
of NN O O
the NN O O
infusion NN O O
and/or NN O O
administration NN O O
of NN O O
additional NN O O
antihistamines NN O O
, NN O O
antipyretics NN O O
, NN O O
and/or NN O O
corticosteroids NN O O
for NN O O
mild NN O O
reactions NN O O
. NN O O
However NN O O
, NN O O
if NN O O
severe NN O O
hypersensitivity NN O O
reactions NN O O
occur NN O O
, NN O O
immediately NN O O
stop NN O O
the NN O O
infusion NN O O
of NN O O
Vimizim NN O O
and NN O O
initiate NN O O
appropriate NN O O
treatment NN O O
. NN O O
Consider NN O O
the NN O O
risks NN O O
and NN O O
benefits NN O O
of NN O O
re NN O O
- NN O O
administering NN O O
Vimizim NN O O
following NN O O
a NN O O
severe NN O O
reaction NN O O
. NN O O
5.2 NN O O
Risk NN O O
of NN O O
Acute NN O O
Respiratory NN O O
Complications NN O O
Patients NN O O
with NN O O
acute NN O O
febrile NN O O
or NN O O
respiratory NN O O
illness NN O O
at NN O O
the NN O O
time NN O O
of NN O O
Vimizim NN O O
infusion NN O O
may NN O O
be NN O O
at NN O O
higher NN O O
risk NN B-Factor B-Factor
of NN O O
life NN B-Severity B-Severity
- NN I-Severity I-Severity
threatening NN I-Severity I-Severity
complications NN O O
from NN O O
hypersensitivity NN B-AdverseReaction B-AdverseReaction
reactions NN I-AdverseReaction I-AdverseReaction
Careful NN O O
consideration NN O O
should NN O O
be NN O O
given NN O O
to NN O O
the NN O O
patient NN O O
's NN O O
clinical NN O O
status NN O O
prior NN O O
to NN O O
administration NN O O
of NN O O
Vimizim NN O O
and NN O O
consider NN O O
delaying NN O O
the NN O O
Vimizim NN O O
infusion NN O O
. NN O O
Sleep NN O O
apnea NN O O
is NN O O
common NN O O
in NN O O
MPS NN O O
IVA NN O O
patients NN O O
. NN O O
Evaluation NN O O
of NN O O
airway NN O O
patency NN O O
should NN O O
be NN O O
considered NN O O
prior NN O O
to NN O O
initiation NN O O
of NN O O
treatment NN O O
with NN O O
Vimizim NN O O
. NN O O
Patients NN O O
using NN O O
supplemental NN O O
oxygen NN O O
or NN O O
continuous NN O O
positive NN O O
airway NN O O
pressure NN O O
( NN O O
CPAP NN O O
) NN O O
during NN O O
sleep NN O O
should NN O O
have NN O O
these NN O O
treatments NN O O
readily NN O O
available NN O O
during NN O O
infusion NN O O
in NN O O
the NN O O
event NN O O
of NN O O
an NN O O
acute NN O O
reaction NN O O
, NN O O
or NN O O
extreme NN O O
drowsiness/sleep NN O O
induced NN O O
by NN O O
antihistamine NN O O
use NN O O
. NN O O
5.3 NN O O
Spinal NN O O
or NN O O
Cervical NN O O
Cord NN O O
Compression NN O O
Spinal NN O O
or NN O O
cervical NN O O
cord NN O O
compression NN O O
( NN O O
SCC NN O O
) NN O O
is NN O O
a NN O O
known NN O O
and NN O O
serious NN O O
complication NN O O
of NN O O
MPS NN O O
IVA NN O O
and NN O O
may NN O O
occur NN O O
as NN O O
part NN O O
of NN O O
the NN O O
natural NN O O
history NN O O
of NN O O
the NN O O
disease NN O O
. NN O O
In NN O O
clinical NN O O
trials NN O O
, NN O O
SCC NN O O
was NN O O
observed NN O O
both NN O O
in NN O O
patients NN O O
receiving NN O O
Vimizim NN O O
and NN O O
patients NN O O
receiving NN O O
placebo NN O O
. NN O O
Patients NN O O
with NN O O
MPS NN O O
IVA NN O O
should NN O O
be NN O O
monitored NN O O
for NN O O
signs NN O O
and NN O O
symptoms NN O O
of NN O O
SCC NN O O
( NN O O
including NN O O
back NN O O
pain NN O O
, NN O O
paralysis NN O O
of NN O O
limbs NN O O
below NN O O
the NN O O
level NN O O
of NN O O
compression NN O O
, NN O O
urinary NN O O
and NN O O
fecal NN O O
incontinence NN O O
) NN O O
and NN O O
given NN O O
appropriate NN O O
clinical NN O O
care NN O O
. NN O O

-DOCSTART- -X- -X- O

6 NN O O
ADVERSE NN O O
REACTIONS NN O O
EXCERPT NN O O
: NN O O
The NN O O
most NN O O
common NN O O
adverse NN O O
reactions NN O O
( NN O O
incidence NN O O
>1 NN O O
% NN O O
) NN O O
were NN O O
ingrown NN B-AdverseReaction B-AdverseReaction
toenails NN I-AdverseReaction I-AdverseReaction
application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
dermatitis NN I-AdverseReaction I-AdverseReaction
application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
vesicles NN I-AdverseReaction I-AdverseReaction
and NN O O
application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
( NN O O
6.1 NN O O
) NN O O
To NN O O
report NN O O
SUSPECTED NN O O
ADVERSE NN O O
REACTIONS NN O O
, NN O O
contact NN O O
Valeant NN O O
Pharmaceuticals NN O O
North NN O O
America NN O O
LLC NN O O
at NN O O
1 NN O O
- NN O O
800 NN O O
- NN O O
321 NN O O
- NN O O
4576 NN O O
or NN O O
FDA NN O O
at NN O O
1 NN O O
- NN O O
800-FDA-1088 NN O O
or NN O O
www.fda.gov/medwatch NN O O
6.1 NN O O
Clinical NN O O
Trials NN O O
Experience NN O O
Because NN O O
clinical NN O O
trials NN O O
are NN O O
conducted NN O O
under NN O O
widely NN O O
varying NN O O
conditions NN O O
, NN O O
adverse NN O O
reaction NN O O
rates NN O O
observed NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
a NN O O
drug NN O O
can NN O O
not NN O O
be NN O O
directly NN O O
compared NN O O
to NN O O
rates NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
another NN O O
drug NN O O
and NN O O
may NN O O
not NN O O
reflect NN O O
the NN O O
rates NN O O
observed NN O O
in NN O O
practice NN O O
. NN O O
In NN O O
two NN O O
clinical NN O O
trials NN O O
, NN O O
1227 NN O O
subjects NN O O
were NN O O
treated NN O O
with NN O O
JUBLIA NN O O
, NN O O
1161 NN O O
for NN O O
at NN O O
least NN O O
24 NN O O
weeks NN O O
and NN O O
780 NN O O
for NN O O
48 NN O O
weeks NN O O
. NN O O
Adverse NN O O
reactions NN O O
reported NN O O
within NN O O
48 NN O O
weeks NN O O
of NN O O
treatment NN O O
and NN O O
in NN O O
at NN O O
least NN O O
1 NN O O
% NN O O
of NN O O
subjects NN O O
treated NN O O
with NN O O
JUBLIA NN O O
and NN O O
those NN O O
reported NN O O
in NN O O
subjects NN O O
treated NN O O
with NN O O
the NN O O
vehicle NN O O
are NN O O
presented NN O O
in NN O O
Table NN O O
1 NN O O
. NN O O
Table NN O O
1 NN O O
: NN O O
Adverse NN O O
Reactions NN O O
Reported NN O O
by NN O O
at NN O O
Least NN O O
1 NN O O
% NN O O
of NN O O
Subjects NN O O
Treated NN O O
for NN O O
up NN O O
to NN O O
48 NN O O
Weeks NN O O
Adverse NN O O
Event NN O O
, NN O O
n NN O O
( NN O O
% NN O O
) NN O O
JUBLIAN NN O O
= NN O O
1227 NN O O
VehicleN NN O O
= NN O O
413 NN O O
Ingrown NN B-AdverseReaction B-AdverseReaction
toenail NN I-AdverseReaction I-AdverseReaction
28 NN O O
( NN O O
2.3 NN O O
% NN O O
) NN O O
3 NN O O
( NN O O
0.7 NN O O
% NN O O
) NN O O
Application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
dermatitis NN I-AdverseReaction I-AdverseReaction
27 NN O O
( NN O O
2.2 NN O O
% NN O O
) NN O O
1 NN O O
( NN O O
0.2 NN O O
% NN O O
) NN O O
Application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
vesicles NN I-AdverseReaction I-AdverseReaction
20 NN O O
( NN O O
1.6 NN O O
% NN O O
) NN O O
0 NN O O
( NN O O
0.0 NN O O
% NN O O
) NN O O
Application NN B-AdverseReaction B-AdverseReaction
site NN I-AdverseReaction I-AdverseReaction
pain NN I-AdverseReaction I-AdverseReaction
13 NN O O
( NN O O
1.1 NN O O
% NN O O
) NN O O
1 NN O O
( NN O O
0.2 NN O O
% NN O O
) NN O O

-DOCSTART- -X- -X- O

6 NN O O
ADVERSE NN O O
REACTIONS NN O O
The NN O O
following NN O O
are NN O O
discussed NN O O
in NN O O
more NN O O
detail NN O O
in NN O O
other NN O O
sections NN O O
of NN O O
the NN O O
labeling NN O O
: NN O O
* NN O O
Hypertension NN B-AdverseReaction B-AdverseReaction
Hypokalemia NN B-AdverseReaction B-AdverseReaction
and NN O O
Fluid NN B-AdverseReaction B-AdverseReaction
Retention NN I-AdverseReaction I-AdverseReaction
due NN O O
to NN O O
Mineralocorticoid NN B-AdverseReaction B-AdverseReaction
Excess NN I-AdverseReaction I-AdverseReaction
[ NN O O
seeWarnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.1 NN O O
) NN O O
] NN O O
. NN O O
* NN O O
Adrenocortical NN B-AdverseReaction B-AdverseReaction
Insufficiency NN I-AdverseReaction I-AdverseReaction
[ NN O O
seeWarnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.2 NN O O
) NN O O
] NN O O
. NN O O
* NN O O
Hepatotoxicity NN B-AdverseReaction B-AdverseReaction
[ NN O O
seeWarnings NN O O
and NN O O
Precautions NN O O
( NN O O
5.3 NN O O
) NN O O
] NN O O
. NN O O
EXCERPT NN O O
: NN O O
The NN O O
most NN O O
common NN O O
adverse NN O O
reactions NN O O
( NN O O
>=10 NN O O
% NN O O
) NN O O
are NN O O
fatigue NN B-AdverseReaction B-AdverseReaction
joint NN B-AdverseReaction B-AdverseReaction
swelling NN I-AdverseReaction I-AdverseReaction
or NN O O
discomfort NN O O
, NN O O
edema NN B-AdverseReaction B-AdverseReaction
hot NN B-AdverseReaction B-AdverseReaction
flush NN I-AdverseReaction I-AdverseReaction
diarrhea NN B-AdverseReaction B-AdverseReaction
vomiting NN B-AdverseReaction B-AdverseReaction
cough NN B-AdverseReaction B-AdverseReaction
hypertension NN B-AdverseReaction B-AdverseReaction
dyspnea NN B-AdverseReaction B-AdverseReaction
urinary NN B-AdverseReaction B-AdverseReaction
tract NN I-AdverseReaction I-AdverseReaction
infection NN I-AdverseReaction I-AdverseReaction
and NN O O
contusion NN B-AdverseReaction B-AdverseReaction
The NN O O
most NN O O
common NN O O
laboratory NN O O
abnormalities NN O O
( NN O O
>20 NN O O
% NN O O
) NN O O
are NN O O
anemia NN B-AdverseReaction B-AdverseReaction
elevated NN B-AdverseReaction B-AdverseReaction
alkaline NN I-AdverseReaction I-AdverseReaction
phosphatase NN I-AdverseReaction I-AdverseReaction
hypertriglyceridemia NN B-AdverseReaction B-AdverseReaction
lymphopenia NN B-AdverseReaction B-AdverseReaction
hypercholesterolemia NN B-AdverseReaction B-AdverseReaction
hyperglycemia NN B-AdverseReaction B-AdverseReaction
elevated NN B-AdverseReaction B-AdverseReaction
AST NN I-AdverseReaction I-AdverseReaction
hypophosphatemia NN B-AdverseReaction B-AdverseReaction
elevated NN B-AdverseReaction B-AdverseReaction
ALT NN I-AdverseReaction I-AdverseReaction
and NN O O
hypokalemia NN B-AdverseReaction B-AdverseReaction
( NN O O
6 NN O O
) NN O O
To NN O O
report NN O O
SUSPECTED NN O O
ADVERSE NN O O
REACTIONS NN O O
, NN O O
contact NN O O
Janssen NN O O
Biotech NN O O
, NN O O
Inc. NN O O
at NN O O
1 NN O O
- NN O O
800 NN O O
- NN O O
526 NN O O
- NN O O
7736 NN O O
( NN O O
1 NN O O
- NN O O
800-JANSSEN NN O O
) NN O O
or NN O O
FDA NN O O
at NN O O
1 NN O O
- NN O O
800-FDA-1088 NN O O
or NN O O
www.fda.gov/medwatch NN O O
. NN O O
6.1 NN O O
Clinical NN O O
Trial NN O O
Experience NN O O
Because NN O O
clinical NN O O
trials NN O O
are NN O O
conducted NN O O
under NN O O
widely NN O O
varying NN O O
conditions NN O O
, NN O O
adverse NN O O
reaction NN O O
rates NN O O
observed NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
a NN O O
drug NN O O
can NN O O
not NN O O
be NN O O
directly NN O O
compared NN O O
to NN O O
rates NN O O
in NN O O
the NN O O
clinical NN O O
trials NN O O
of NN O O
another NN O O
drug NN O O
and NN O O
may NN O O
not NN O O
reflect NN O O
the NN O O
rates NN O O
observed NN O O
in NN O O
clinical NN O O
practice NN O O
. NN O O
Two NN O O
randomized NN O O
placebo NN O O
- NN O O
controlled NN O O
, NN O O
multicenter NN O O
clinical NN O O
trials NN O O
enrolled NN O O
patients NN O O
who NN O O
had NN O O
metastatic NN O O
castration NN O O
- NN O O
resistant NN O O
prostate NN O O
cancer NN O O
who NN O O
were NN O O
using NN O O
a NN O O
gonadotropin NN O O
